,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
C1,C2,X RArm,Y RArm,Z RArm,X RLeg,Y RLeg,Z RLeg,X LLeg,Y LLeg,Z LLeg,X LArm,Y LArm,Z LArm,X Torso,Y Torso,Z Torso,X Head,Y Head,Z Head
,0,0.1280972511,-0.1277963966,0.264744848,-0.004492979,-0.0676214248,-0.0052566603,-0.0045199394,0.067619741,2.90572643280029E-007,0.1327524781,0.1040045023,0.2778331041,-0.0105686188,-0.0128880143,0.3288783431,-0.0111269951,-0.017801702,0.4552816451
,1,0.1295754015,-0.1278179437,0.266050458,-0.004492979,-0.0676214248,-0.0052566603,-0.0045199394,0.067619741,2.90572643280029E-007,0.1342302859,0.1039295271,0.2792156637,-0.0105686188,-0.0128880143,0.3288783431,-0.0111269951,-0.017801702,0.4552816451
,2,0.132502228,-0.1278716177,0.2687103748,-0.004492979,-0.0676214248,-0.0052566603,-0.0045199394,0.067619741,2.90572643280029E-007,0.1356964409,0.1038563028,0.2806147933,-0.0105686188,-0.0128880143,0.3288783431,-0.0111269951,-0.017801702,0.4552816451
,3,0.1339539886,-0.1279024333,0.2700676918,-0.004492979,-0.0676214248,-0.0052566603,-0.0045199394,0.067619741,2.90572643280029E-007,0.1974181384,0.0986583158,0.3976390064,-0.0105686188,-0.0128880143,0.3288783431,-0.0111269951,-0.017801702,0.4552816451
,4,0.1965926141,-0.1314000636,0.3845168352,-0.004492979,-0.0676214248,-0.0052566603,-0.0045199394,0.067619741,2.90572643280029E-007,0.1982054114,0.0984440148,0.402683109,-0.0105686188,-0.0128880143,0.3288783431,-0.0111269951,-0.017801702,0.4552816451
,5,0.1970452666,-0.1314810514,0.3869873285,-0.004492979,-0.0676214248,-0.0052566603,-0.0045199394,0.067619741,2.90572643280029E-007,0.1985536963,0.0983363837,0.4052186906,-0.0105686188,-0.0128880143,0.3288783431,-0.0111269951,-0.017801702,0.4552816451
,6,0.1982298642,-0.1317267269,0.3944548368,-0.004492979,-0.0676214248,-0.0052566603,-0.0045199394,0.067619741,2.90572643280029E-007,0.1994171739,0.098012276,0.4128736258,-0.0105686188,-0.0128880143,0.3288783431,-0.0111269951,-0.017801702,0.4552816451
,7,0.1988731325,-0.1318923533,0.3994749188,-0.004492979,-0.0676214248,-0.0052566603,-0.0045199394,0.067619741,2.90572643280029E-007,0.1998386085,0.097795561,0.4180118442,-0.0105686188,-0.0128880143,0.3288783431,-0.0111269951,-0.017801702,0.4552816451
,8,0.1991500556,-0.13197577,0.4019960463,-0.004492979,-0.0676214248,-0.0052566603,-0.0045199394,0.067619741,2.90572643280029E-007,0.2000025213,0.0976867974,0.4205898643,-0.0105686188,-0.0128880143,0.3288783431,-0.0111269951,-0.017801702,0.4552816451
,9,0.1996143758,-0.1321434677,0.4070577621,-0.004492979,-0.0676214248,-0.0052566603,-0.0045199394,0.067619741,2.90572643280029E-007,0.2002359331,0.097469084,0.4257609248,-0.0105686188,-0.0128880143,0.3288783431,-0.0111269951,-0.017801702,0.4552816451
