,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
C1,C2,X RArm,Y RArm,Z RArm,X RLeg,Y RLeg,Z RLeg,X LLeg,Y LLeg,Z LLeg,X LArm,Y LArm,Z LArm,X Torso,Y Torso,Z Torso,X Head,Y Head,Z Head
0,0,0.0488455743,-0.1320113689,0.2215615511,-0.0044929553,-0.0676215142,-0.0052566566,-0.0045198333,0.0676197037,2.90572643280029E-007,0.0467953049,0.1152648106,0.2301509082,-0.0105687436,-0.0128880367,0.3288783431,-0.0111271646,-0.0178015456,0.4552816451
1,1,0.0488455743,-0.1320113689,0.2215615511,-0.0044929553,-0.0676215142,-0.0052566566,-0.0045198333,0.0676197037,2.90572643280029E-007,0.0467953049,0.1152648106,0.2301509082,-0.0105687436,-0.0128880367,0.3288783431,-0.0111271646,-0.0178015456,0.4552816451
2,2,0.0488455743,-0.1320113689,0.2215615511,-0.0044929553,-0.0676215142,-0.0052566566,-0.0045198333,0.0676197037,2.90572643280029E-007,0.0467953049,0.1152648106,0.2301509082,-0.0105687436,-0.0128880367,0.3288783431,-0.0111271646,-0.0178015456,0.4552816451
3,3,0.0488455743,-0.1320113689,0.2215615511,-0.0044929553,-0.0676215142,-0.0052566566,-0.0045198333,0.0676197037,2.90572643280029E-007,0.0467953049,0.1152648106,0.2301509082,-0.0105687436,-0.0128880367,0.3288783431,-0.0111271646,-0.0178015456,0.4552816451
4,4,0.0488455743,-0.1320113689,0.2215615511,-0.0044929553,-0.0676215142,-0.0052566566,-0.0045198333,0.0676197037,2.90572643280029E-007,0.0467953049,0.1152648106,0.2301509082,-0.0105687436,-0.0128880367,0.3288783431,-0.0111271646,-0.0178015456,0.4552816451
5,5,0.0488455743,-0.1320113689,0.2215615511,-0.0044929553,-0.0676215142,-0.0052566566,-0.0045198333,0.0676197037,2.90572643280029E-007,0.0467953049,0.1152648106,0.2301509082,-0.0105687436,-0.0128880367,0.3288783431,-0.0111271646,-0.0178015456,0.4552816451
6,6,0.0488455743,-0.1320113689,0.2215615511,-0.0044929553,-0.0676215142,-0.0052566566,-0.0045198333,0.0676197037,2.90572643280029E-007,0.0467953049,0.1152648106,0.2301509082,-0.0105687436,-0.0128880367,0.3288783431,-0.0111271646,-0.0178015456,0.4552816451
7,7,0.0488455743,-0.1320113689,0.2215615511,-0.0044929553,-0.0676215142,-0.0052566566,-0.0045198333,0.0676197037,2.90572643280029E-007,0.0467953049,0.1152648106,0.2301509082,-0.0105687436,-0.0128880367,0.3288783431,-0.0111271646,-0.0178015456,0.4552816451
8,8,0.0488455743,-0.1320113689,0.2215615511,-0.0044929553,-0.0676215142,-0.0052566566,-0.0045198333,0.0676197037,2.90572643280029E-007,0.0467953049,0.1152648106,0.2301509082,-0.0105687436,-0.0128880367,0.3288783431,-0.0111271646,-0.0178015456,0.4552816451
9,9,0.0488455743,-0.1320113689,0.2215615511,-0.0044929553,-0.0676215142,-0.0052566566,-0.0045198333,0.0676197037,2.90572643280029E-007,0.0467953049,0.1152648106,0.2301509082,-0.0105687436,-0.0128880367,0.3288783431,-0.0111271646,-0.0178015456,0.4552816451
