,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,C2,X RArm,Y RArm,Z RArm,WX RArm,WY RArm,WZ RArm,X RLeg,Y RLeg,Z RLeg,WX RLeg,WY RLeg,WZ RLeg,X LLeg,Y LLeg,Z LLeg,WX LLeg,WY LLeg,WZ LLeg,X LArm,Y LArm,Z LArm,WX LArm,WY LArm,WZ LArm,X Torso,Y Torso,Z Torso,WX Torso,WY Torso,WZ Torso,X Head,Y Head,Z Head,WX Head,WY Head,WZ Head
,,0.0471524522,-0.1300199181,0.2223553956,1.3025642633,1.0932564735,0.0280342977,-0.0033017984,-0.0678411126,-0.0045214891,0.0691296682,0.001140847,-0.1308561713,-0.005583901,0.067691505,-3.56137752532959E-006,0.0010597085,0.0001021486,0.1309354454,0.0464263409,0.1128438115,0.2295617759,-0.9677231312,1.0850659609,0.0794048682,-0.0113056414,-0.0114415344,0.3293222785,0.0334402695,-0.0056795124,-0.0007625793,-0.0120655214,-0.015567489,0.455771029,0.0337960012,-0.1826755702,-0.0150260115
,,0.0469900891,-0.1297889054,0.2224286795,1.3049706221,1.0939180851,0.0288803782,-0.0031648714,-0.0678663999,-0.0044130497,0.068064034,3.3031221391866E-005,-0.1306867898,-0.005706294,0.0677000806,-3.41236591339111E-006,0.0010132769,0.000097526,0.130689159,0.046425119,0.1126110032,0.2295191884,-0.9728165865,1.085041523,0.0749478936,-0.0113670947,-0.0113007706,0.3293628991,0.0329396799,-0.0057954811,-0.0008179162,-0.0121398289,-0.0153671615,0.4558127522,0.033305265,-0.1832688749,-0.0155649679
,,0.046835918,-0.1295550317,0.2224983871,1.3076802492,1.0945813656,0.0297708604,-0.0031226112,-0.0678741783,-0.0043784156,0.0677268654,-0.0003118283,-0.1306342632,-0.005780058,0.0677052885,-3.18139791488647E-006,0.0009630991,9.25959466258064E-005,0.1305408627,0.0464300998,0.1123861969,0.2294808775,-0.9779604077,1.0849997997,0.0706849545,-0.0114249,-0.0111654848,0.3294016421,0.032461755,-0.0059060985,-0.0008684997,-0.012209163,-0.0151767079,0.4558521211,0.0328407995,-0.1838122457,-0.0160499979
,,0.0466930866,-0.1293199956,0.2225634754,1.3107156754,1.0952372551,0.0307074748,-0.0030442385,-0.0678886771,-0.0043119304,0.0670875758,-0.0009562674,-0.1305365264,-0.0058140839,0.0677076951,-3.06218862533569E-006,0.0009321713,8.9568093244452E-005,0.1304724365,0.0464414731,0.1121728271,0.2294473052,-0.9831094146,1.0849452019,0.0666859895,-0.011478099,-0.0110377483,0.3294378817,0.0320140347,-0.0060096239,-0.0009136217,-0.0122416215,-0.0150861405,0.4558707774,0.0326207504,-0.1840621382,-0.0162695218
,,0.0466267914,-0.1292025298,0.2225939929,1.3123620749,1.0955598354,0.0311933793,-0.0029753176,-0.0679013804,-0.0042504258,0.0665043294,-0.001530727,-0.1304503232,-0.005875689,0.0677121133,-2.73808836936951E-006,0.0008588887,8.24693124741316E-005,0.1303485781,0.0464496166,0.1120715439,0.2294324636,-0.9856717587,1.0849144459,0.0648076758,-0.0115257883,-0.0109196752,0.3294710219,0.031604059,-0.0061043552,-0.0009524107,-0.012301405,-0.0149161816,0.4559054971,0.0322097726,-0.1845121533,-0.0166570041
,,0.0465064421,-0.1289687157,0.2226501852,1.3159270287,1.0961881876,0.0322021544,-0.0029173021,-0.0679121763,-0.0041948482,0.0659876466,-0.002023702,-0.1303776503,-0.0059275539,0.0677158535,-2.46614217758179E-006,0.0007702171,7.38997186999768E-005,0.1302440614,0.0464708284,0.11188972,0.2294081748,-0.9906646013,1.0848457813,0.0614101738,-0.0115472469,-0.0108649135,0.3294862211,0.0314155743,-0.0061478843,-0.0009692198,-0.0123533309,-0.014763698,0.4559362829,0.0318438672,-0.1848875284,-0.0169682503
,,0.0464049019,-0.1287377477,0.2226991951,1.3198732138,1.0967861414,0.0332616679,-0.0028928285,-0.0679167137,-0.0041696578,0.0657577515,-0.0022360829,-0.1303469837,-0.0059683723,0.0677188933,-2.11223959922791E-006,0.0006661972,6.383158324752E-005,0.130161494,0.0464976206,0.111734882,0.2293904275,-0.995480001,1.0847817659,0.058518637,-0.011584864,-0.0107652396,0.3295135796,0.031076327,-0.0062261838,-0.0009971308,-0.0123962825,-0.0146317314,0.4559625983,0.0315305442,-0.1851782948,-0.0171942785
,,0.0463252142,-0.1285111755,0.222740069,1.3242235184,1.0973449945,0.0343745574,-0.0028538695,-0.0679240748,-0.004125122,0.0653615296,-0.0025853165,-0.1302983761,-0.0059968336,0.0677211136,-1.64657831192017E-006,0.0005467185,5.2349303587107E-005,0.1301033944,0.0465301275,0.1116023585,0.2293784916,-1.000156641,1.0847314596,0.0561259985,-0.0116145825,-0.0106804296,0.3295363784,0.0307936557,-0.0062913825,-0.0010167415,-0.0124140186,-0.0145744011,0.4559738934,0.0313959531,-0.1852888316,-0.0172725264
,,0.046270512,-0.1282906234,0.2227717191,1.3290008307,1.0978546143,0.0355433859,-0.0028294267,-0.0679287836,-0.0040893853,0.0650592595,-0.0028243507,-0.130268231,-0.0060060294,0.0677218512,-1.4081597328186E-006,0.0004811879,4.60706542071421E-005,0.1300842762,0.0465486348,0.111545518,0.2293749452,-1.0024294853,1.0847125053,0.0551378354,-0.0116261961,-0.0106442999,0.3295458555,0.0306758974,-0.0063185361,-0.0010232684,-0.0124413082,-0.0144789554,0.4559922814,0.0311756823,-0.1854341179,-0.017354019
,,0.0462535098,-0.1281830221,0.2227837294,1.3315569162,1.0980881453,0.0361498818,-0.0028231018,-0.0679300427,-0.0040751323,0.0649467483,-0.0028989234,-0.1302607059,-0.0060135224,0.0677226633,-9.61124897003174E-007,0.0003385011,3.24146531056613E-005,0.1300676018,0.0465903506,0.1114528626,0.2293728888,-1.0068173409,1.0846896172,0.0536212176,-0.0116423266,-0.0105857514,0.3295606375,0.0304922871,-0.0063608731,-0.0010290057,-0.0124505656,-0.0144415982,0.4559992552,0.0310918819,-0.1854663789,-0.0173549298
,,0.0462438911,-0.1280775219,0.2227931321,1.3342285156,1.0983058214,0.0367713831,-0.0028212552,-0.0679306462,-0.0040543079,0.0647981763,-0.0029630517,-0.1302594393,-0.0060132076,0.0677227676,-0.000000719,0.0002707953,2.847012001439E-005,0.1300671399,0.0466226712,0.1114164963,0.2293767333,-1.0089497566,1.0846478939,0.0530894548,-0.0116471555,-0.0105638076,0.3295659423,0.0304260962,-0.0063767829,-0.0010294454,-0.0124628097,-0.0143871903,0.456009239,0.030971434,-0.1854988635,-0.017334301
,,0.046291016,-0.1278720498,0.2228174955,1.3398596048,1.0984886885,0.0380466357,-0.0028235912,-0.0679302514,-0.0040412508,0.0647082925,-0.0029815661,-0.1302619129,-0.0060109873,0.0677227005,-3.91155481338501E-007,0.0001733101,3.67247484973632E-005,0.1300687939,0.0467836708,0.1113541052,0.229413107,-1.0133178234,1.08418262,0.0523333959,-0.0116560562,-0.0105218422,0.3295761049,0.0302987844,-0.0064222361,-0.0010308539,-0.01247204,-0.0143532138,0.4560154378,0.030896049,-0.1855308712,-0.0173219014
,,0.0467433408,-0.1275486946,0.2229358554,1.3489158154,1.0971062183,0.0401376672,-0.0028281223,-0.067929253,-0.0040334463,0.0646548346,-0.0029784478,-0.1302659959,-0.0060066301,0.0677222162,-1.9371509552002E-007,0.0001109136,5.93049262533896E-005,0.1300731897,0.0471580774,0.1112903282,0.2295093983,-1.018148303,1.0828187466,0.0517460257,-0.0116611253,-0.0105071776,0.3295795918,0.0302536506,-0.0064618103,-0.0010323742,-0.012482116,-0.0143328309,0.4560190439,0.0308507904,-0.1855711937,-0.0173153691
