,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,C2,X RArm,Y RArm,Z RArm,WX RArm,WY RArm,WZ RArm,X RLeg,Y RLeg,Z RLeg,WX RLeg,WY RLeg,WZ RLeg,X LLeg,Y LLeg,Z LLeg,WX LLeg,WY LLeg,WZ LLeg,X LArm,Y LArm,Z LArm,WX LArm,WY LArm,WZ LArm,X Torso,Y Torso,Z Torso,WX Torso,WY Torso,WZ Torso,X Head,Y Head,Z Head,WX Head,WY Head,WZ Head
,,0.0637745634,-0.1292120665,0.2274873853,0.0637745634,-0.1292120665,0.2274873853,-0.0040973215,-0.0677371398,-0.0041386858,-0.0040973215,-0.0677371398,-0.0041386858,-0.0052483045,0.0676576868,-6.63101673126221E-007,-0.0052483045,0.0676576868,-6.63101673126221E-007,0.0640340894,0.1100893691,0.2343428433,0.0640340894,0.1100893691,0.2343428433,-0.0102490149,-0.010620825,0.3295773864,-0.0102490149,-0.010620825,0.3295773864,-0.0102869682,-0.0144638419,0.4560189843,-0.0102869682,-0.0144638419,0.4560189843
,,0.063644588,-0.1291738749,0.2274495959,0.063644588,-0.1291738749,0.2274495959,-0.0040750704,-0.067740649,-0.0041372143,-0.0040750704,-0.067740649,-0.0041372143,-0.0052765394,0.0676600784,-9.98377799987793E-007,-0.0052765394,0.0676600784,-9.98377799987793E-007,0.0637836084,0.1100278273,0.2342612296,0.0637836084,0.1100278273,0.2342612296,-0.0102703627,-0.010616634,0.3295776248,-0.0102703627,-0.010616634,0.3295776248,-0.0103500746,-0.0144562759,0.4560194016,-0.0103500746,-0.0144562759,0.4560194016
,,0.0633072928,-0.1290835142,0.227352038,0.0633072928,-0.1290835142,0.227352038,-0.0040236493,-0.0677487552,-0.0041336752,-0.0040236493,-0.0677487552,-0.0041336752,-0.0053101131,0.0676629022,-1.31875276565552E-006,-0.0053101131,0.0676629022,-1.31875276565552E-006,0.0634397417,0.1099547297,0.2341507673,0.0634397417,0.1099547297,0.2341507673,-0.0103015527,-0.0106115043,0.3295779228,-0.0103015527,-0.0106115043,0.3295779228,-0.0103787221,-0.0144531876,0.4560195506,-0.0103787221,-0.0144531876,0.4560195506
,,0.0628656447,-0.1289777905,0.2272249758,0.0628656447,-0.1289777905,0.2272249758,-0.003964046,-0.0677580982,-0.0041294359,-0.003964046,-0.0677580982,-0.0041294359,-0.0053286622,0.0676644817,-1.49756669998169E-006,-0.0053286622,0.0676644817,-1.49756669998169E-006,0.0632324964,0.1099151894,0.2340847552,0.0632324964,0.1099151894,0.2340847552,-0.0103208106,-0.0106085651,0.3295781016,-0.0103208106,-0.0106085651,0.3295781016,-0.0104470402,-0.0144462064,0.456019938,-0.0104470402,-0.0144462064,0.456019938
,,0.0626063272,-0.1289205104,0.2271507829,0.0626063272,-0.1289205104,0.2271507829,-0.0038973917,-0.0677685365,-0.0041244403,-0.0038973917,-0.0677685365,-0.0041244403,-0.0053688101,0.0676678345,-1.79186463356018E-006,-0.0053688101,0.0676678345,-1.79186463356018E-006,0.0627488196,0.1098325923,0.2339319289,0.0627488196,0.1098325923,0.2339319289,-0.0103663709,-0.0106021538,0.3295785189,-0.0103663709,-0.0106021538,0.3295785189,-0.0104864929,-0.01444236,0.4560201764,-0.0104864929,-0.01444236,0.4560201764
,,0.0620139316,-0.1287994683,0.2269819677,0.0620139316,-0.1287994683,0.2269819677,-0.0038617493,-0.0677740723,-0.0041216463,-0.0038617493,-0.0677740723,-0.0041216463,-0.0053902552,0.0676696673,-1.94087624549866E-006,-0.0053902552,0.0676696673,-1.94087624549866E-006,0.0621766783,0.1097488776,0.2337530553,0.0621766783,0.1097488776,0.2337530553,-0.0104207359,-0.0105949529,0.3295789957,-0.0104207359,-0.0105949529,0.3295789957,-0.0105751753,-0.0144339651,0.4560206532,-0.0105751753,-0.0144339651,0.4560206532
,,0.0613290891,-0.1286727935,0.2267882824,0.0613290891,-0.1286727935,0.2267882824,-0.0037866749,-0.0677857697,-0.0041157827,-0.0037866749,-0.0677857697,-0.0041157827,-0.0054354365,0.0676734895,-2.1718442440033E-006,-0.0054354365,0.0676734895,-2.1718442440033E-006,0.0618593395,0.1097076908,0.2336545289,0.0618593395,0.1097076908,0.2336545289,-0.0104509741,-0.0105911307,0.3295792341,-0.0104509741,-0.0105911307,0.3295792341,-0.0106757246,-0.0144248102,0.4560211301,-0.0106757246,-0.0144248102,0.4560211301
,,0.0609547272,-0.1286083311,0.2266830802,0.0609547272,-0.1286083311,0.2266830802,-0.0037475098,-0.0677918121,-0.0041125678,-0.0037475098,-0.0677918121,-0.0041125678,-0.0054830336,0.0676775351,-2.39163637161255E-006,-0.0054830336,0.0676775351,-2.39163637161255E-006,0.0611670315,0.1096288338,0.2334414124,0.0611670315,0.1096288338,0.2334414124,-0.010516867,-0.0105830617,0.3295797706,-0.010516867,-0.0105830617,0.3295797706,-0.0107299294,-0.0144200101,0.4560213685,-0.0107299294,-0.0144200101,0.4560213685
,,0.0601483881,-0.1284788996,0.2264581025,0.0601483881,-0.1284788996,0.2264581025,-0.0036666659,-0.0678042844,-0.0041059852,-0.0036666659,-0.0678042844,-0.0041059852,-0.0055075288,0.0676796064,-2.47731804847717E-006,-0.0055075288,0.0676796064,-2.47731804847717E-006,0.0607941337,0.1095918864,0.233327508,0.0607941337,0.1095918864,0.233327508,-0.0105891824,-0.0105745345,0.329580307,-0.0105891824,-0.0105745345,0.329580307,-0.0108451992,-0.0144099537,0.4560219049,-0.0108451992,-0.0144099537,0.4560219049
,,0.0597191639,-0.1284145117,0.2263392061,0.0597191639,-0.1284145117,0.2263392061,-0.0036252951,-0.0678106546,-0.0041024797,-0.0036252951,-0.0678106546,-0.0041024797,-0.0055575124,0.0676838979,-2.58907675743103E-006,-0.0055575124,0.0676838979,-2.58907675743103E-006,0.0600007921,0.1095247418,0.2330872118,0.0600007921,0.1095247418,0.2330872118,-0.0106273964,-0.0105701275,0.329580605,-0.0106273964,-0.0105701275,0.329580605,-0.0109058116,-0.0144047458,0.4560221434,-0.0109058116,-0.0144047458,0.4560221434
