Format Version,1.21,Take Name,rutina1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-11-16 03.39.44.594 PM,Total Frames in Take,2695,Total Exported Frames,2695,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone
,,Skeleton1_Hip,Skeleton1_Hip,Skeleton1_Hip,Skeleton1_Hip,Skeleton1_Hip,Skeleton1_Hip,Skeleton1_Hip,Skeleton1_Ab,Skeleton1_Ab,Skeleton1_Ab,Skeleton1_Ab,Skeleton1_Ab,Skeleton1_Ab,Skeleton1_Ab,Skeleton1_Chest,Skeleton1_Chest,Skeleton1_Chest,Skeleton1_Chest,Skeleton1_Chest,Skeleton1_Chest,Skeleton1_Chest,Skeleton1_Neck,Skeleton1_Neck,Skeleton1_Neck,Skeleton1_Neck,Skeleton1_Neck,Skeleton1_Neck,Skeleton1_Neck,Skeleton1_Head,Skeleton1_Head,Skeleton1_Head,Skeleton1_Head,Skeleton1_Head,Skeleton1_Head,Skeleton1_Head,Skeleton1_LShoulder,Skeleton1_LShoulder,Skeleton1_LShoulder,Skeleton1_LShoulder,Skeleton1_LShoulder,Skeleton1_LShoulder,Skeleton1_LShoulder,Skeleton1_LUArm,Skeleton1_LUArm,Skeleton1_LUArm,Skeleton1_LUArm,Skeleton1_LUArm,Skeleton1_LUArm,Skeleton1_LUArm,Skeleton1_LFArm,Skeleton1_LFArm,Skeleton1_LFArm,Skeleton1_LFArm,Skeleton1_LFArm,Skeleton1_LFArm,Skeleton1_LFArm,Skeleton1_LHand,Skeleton1_LHand,Skeleton1_LHand,Skeleton1_LHand,Skeleton1_LHand,Skeleton1_LHand,Skeleton1_LHand,Skeleton1_RShoulder,Skeleton1_RShoulder,Skeleton1_RShoulder,Skeleton1_RShoulder,Skeleton1_RShoulder,Skeleton1_RShoulder,Skeleton1_RShoulder,Skeleton1_RUArm,Skeleton1_RUArm,Skeleton1_RUArm,Skeleton1_RUArm,Skeleton1_RUArm,Skeleton1_RUArm,Skeleton1_RUArm,Skeleton1_RFArm,Skeleton1_RFArm,Skeleton1_RFArm,Skeleton1_RFArm,Skeleton1_RFArm,Skeleton1_RFArm,Skeleton1_RFArm,Skeleton1_RHand,Skeleton1_RHand,Skeleton1_RHand,Skeleton1_RHand,Skeleton1_RHand,Skeleton1_RHand,Skeleton1_RHand,Skeleton1_LThigh,Skeleton1_LThigh,Skeleton1_LThigh,Skeleton1_LThigh,Skeleton1_LThigh,Skeleton1_LThigh,Skeleton1_LThigh,Skeleton1_LShin,Skeleton1_LShin,Skeleton1_LShin,Skeleton1_LShin,Skeleton1_LShin,Skeleton1_LShin,Skeleton1_LShin,Skeleton1_LFoot,Skeleton1_LFoot,Skeleton1_LFoot,Skeleton1_LFoot,Skeleton1_LFoot,Skeleton1_LFoot,Skeleton1_LFoot,Skeleton1_RThigh,Skeleton1_RThigh,Skeleton1_RThigh,Skeleton1_RThigh,Skeleton1_RThigh,Skeleton1_RThigh,Skeleton1_RThigh,Skeleton1_RShin,Skeleton1_RShin,Skeleton1_RShin,Skeleton1_RShin,Skeleton1_RShin,Skeleton1_RShin,Skeleton1_RShin,Skeleton1_RFoot,Skeleton1_RFoot,Skeleton1_RFoot,Skeleton1_RFoot,Skeleton1_RFoot,Skeleton1_RFoot,Skeleton1_RFoot,Skeleton1_LToe,Skeleton1_LToe,Skeleton1_LToe,Skeleton1_LToe,Skeleton1_LToe,Skeleton1_LToe,Skeleton1_LToe,Skeleton1_RToe,Skeleton1_RToe,Skeleton1_RToe,Skeleton1_RToe,Skeleton1_RToe,Skeleton1_RToe,Skeleton1_RToe
,,"1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9","9","9","9","9","9","9","A","A","A","A","A","A","A","B","B","B","B","B","B","B","C","C","C","C","C","C","C","D","D","D","D","D","D","D","E","E","E","E","E","E","E","F","F","F","F","F","F","F","10","10","10","10","10","10","10","12","12","12","12","12","12","12","13","13","13","13","13","13","13","14","14","14","14","14","14","14","11","11","11","11","11","11","11","15","15","15","15","15","15","15"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,0.003137,0.683925,0.000458,-0.729545,-0.000439,0.917242,0.006648,0.045618,0.681851,0.032323,-0.729351,-0.000057,0.994398,0.006343,0.010764,0.683060,0.038812,-0.729251,0.022434,1.198772,0.001722,-0.078359,0.718391,-0.044708,-0.689765,0.018505,1.404219,0.010607,-0.069234,0.750979,-0.092394,-0.650155,0.013804,1.545076,0.017620,0.072998,0.727464,-0.035362,-0.681334,0.039487,1.391719,0.046539,0.002918,0.633194,0.099528,-0.767562,0.034128,1.405303,0.133304,-0.035157,0.634108,0.109729,-0.764611,0.090334,1.358310,0.439868,-0.043674,0.659419,0.089426,-0.745159,0.132874,1.305689,0.678156,-0.042900,0.698164,0.091448,-0.708776,0.034693,1.394865,-0.028325,0.009207,0.682353,-0.069238,-0.727678,0.033953,1.411541,-0.114712,0.073671,0.682621,-0.038524,-0.726028,0.015294,1.375820,-0.427322,0.115707,0.666890,0.018178,-0.735893,-0.000685,1.337365,-0.669401,0.010673,0.684434,-0.060733,-0.726462,0.005629,0.917583,0.100545,-0.029911,0.709078,-0.029685,-0.703870,0.036465,0.501971,0.141856,0.005296,0.663513,0.005491,-0.748125,0.068501,0.111498,0.141405,-0.075193,0.690834,-0.001495,-0.719091,-0.006508,0.916902,-0.087250,-0.007625,0.698539,-0.035485,-0.714651,0.037902,0.502842,-0.131674,0.006839,0.779874,0.002086,-0.625896,0.061665,0.111775,-0.115981,0.007904,0.662347,0.008143,-0.749112,-0.072545,0.052491,0.158303,0.007347,0.775815,0.003949,-0.630905,-0.076931,0.052287,-0.146213
1,0.008333,0.003077,0.683899,0.000318,-0.729570,-0.000518,0.917226,0.006671,0.045712,0.681839,0.032313,-0.729357,-0.000157,0.994382,0.006358,0.010775,0.683056,0.038765,-0.729257,0.022358,1.198766,0.001705,-0.078247,0.718347,-0.044609,-0.689829,0.018418,1.404214,0.010574,-0.069201,0.750880,-0.092389,-0.650273,0.013759,1.545074,0.017584,0.073047,0.727453,-0.035339,-0.681342,0.039401,1.391718,0.046507,0.002992,0.633227,0.099580,-0.767528,0.034045,1.405305,0.133271,-0.035134,0.634174,0.109729,-0.764558,0.090218,1.358318,0.439843,-0.043945,0.659553,0.089681,-0.744994,0.132714,1.305710,0.678122,-0.042868,0.698131,0.091393,-0.708818,0.034606,1.394857,-0.028358,0.009075,0.682256,-0.069103,-0.727784,0.033857,1.411523,-0.114747,0.073701,0.682419,-0.038458,-0.726218,0.015102,1.375916,-0.427364,0.115891,0.666526,0.018202,-0.736194,-0.001016,1.337477,-0.669449,0.010645,0.684456,-0.060678,-0.726447,0.005557,0.917579,0.100568,-0.029947,0.709024,-0.029791,-0.703919,0.036375,0.501961,0.141831,0.005283,0.663519,0.005468,-0.748120,0.068491,0.111507,0.141413,-0.075240,0.690837,-0.001493,-0.719084,-0.006593,0.916874,-0.087226,-0.007636,0.697600,-0.035576,-0.715563,0.037844,0.502821,-0.131679,0.006841,0.779880,0.002094,-0.625888,0.061661,0.111789,-0.115970,0.007904,0.662367,0.008126,-0.749094,-0.072553,0.052493,0.158308,0.007289,0.775823,0.003875,-0.630897,-0.076935,0.052304,-0.146206
2,0.016667,0.003040,0.683876,0.000268,-0.729592,-0.000614,0.917222,0.006675,0.045769,0.681808,0.032383,-0.729380,-0.000263,0.994378,0.006361,0.010840,0.683030,0.038643,-0.729287,0.022288,1.198757,0.001710,-0.078170,0.718283,-0.044596,-0.689906,0.018331,1.404207,0.010527,-0.069169,0.750782,-0.092307,-0.650401,0.013692,1.545062,0.017522,0.072909,0.727529,-0.035287,-0.681278,0.039319,1.391721,0.046461,0.002607,0.633273,0.099297,-0.767527,0.033944,1.405286,0.133227,-0.035152,0.634341,0.109584,-0.764439,0.090115,1.358282,0.439796,-0.043745,0.659687,0.089830,-0.744869,0.132521,1.305727,0.678101,-0.042580,0.697866,0.091576,-0.709073,0.034517,1.394842,-0.028404,0.008571,0.682166,-0.069512,-0.727835,0.033708,1.411497,-0.114795,0.073484,0.682315,-0.038413,-0.726340,0.014911,1.375917,-0.427413,0.115728,0.666397,0.018945,-0.736318,-0.001276,1.337573,-0.669479,0.010520,0.684731,-0.060824,-0.726177,0.005467,0.917577,0.100572,-0.029917,0.709111,-0.029723,-0.703835,0.036429,0.501972,0.141855,0.005275,0.663514,0.005475,-0.748125,0.068487,0.111519,0.141420,-0.075290,0.690779,-0.001538,-0.719134,-0.006695,0.916868,-0.087221,-0.007663,0.697567,-0.035609,-0.715593,0.037793,0.502821,-0.131682,0.006624,0.779865,0.002148,-0.625909,0.061643,0.111787,-0.115972,0.007884,0.662359,0.008123,-0.749101,-0.072557,0.052504,0.158316,0.007132,0.775360,0.004138,-0.631465,-0.076938,0.052275,-0.146222
3,0.025000,0.002999,0.683873,0.000222,-0.729595,-0.000707,0.917219,0.006673,0.045874,0.681802,0.032360,-0.729379,-0.000366,0.994375,0.006359,0.010808,0.683029,0.038647,-0.729288,0.022207,1.198734,0.001670,-0.078139,0.718246,-0.044554,-0.689951,0.018242,1.404183,0.010497,-0.069089,0.750704,-0.092325,-0.650497,0.013617,1.545055,0.017496,0.072951,0.727528,-0.035327,-0.681273,0.039230,1.391697,0.046431,0.002509,0.633312,0.099245,-0.767502,0.033854,1.405271,0.133196,-0.035121,0.634473,0.109542,-0.764337,0.090001,1.358255,0.439768,-0.043936,0.659790,0.090207,-0.744721,0.132326,1.305735,0.678071,-0.042496,0.697667,0.091675,-0.709260,0.034428,1.394820,-0.028434,0.008202,0.681996,-0.069813,-0.727970,0.033573,1.411479,-0.114823,0.073098,0.682375,-0.038470,-0.726320,0.014656,1.375916,-0.427436,0.116034,0.666041,0.018454,-0.736604,-0.001486,1.337682,-0.669496,0.010527,0.684527,-0.060846,-0.726367,0.005375,0.917574,0.100569,-0.029991,0.709101,-0.029781,-0.703839,0.036358,0.501971,0.141861,0.005281,0.663503,0.005515,-0.748135,0.068491,0.111513,0.141418,-0.075336,0.690745,-0.001591,-0.719162,-0.006789,0.916863,-0.087224,-0.007705,0.697579,-0.035666,-0.715578,0.037756,0.502822,-0.131683,0.006832,0.779869,0.002135,-0.625902,0.061662,0.111778,-0.115965,0.007839,0.662357,0.008117,-0.749104,-0.072556,0.052507,0.158316,0.007306,0.775830,0.003946,-0.630888,-0.076937,0.052301,-0.146201
4,0.033333,0.002994,0.683867,0.000193,-0.729601,-0.000810,0.917211,0.006676,0.045970,0.681794,0.032345,-0.729382,-0.000472,0.994367,0.006359,0.010811,0.683029,0.038623,-0.729289,0.022121,1.198711,0.001638,-0.077852,0.718166,-0.044770,-0.690053,0.018150,1.404160,0.010457,-0.069262,0.750593,-0.092155,-0.650631,0.013541,1.545049,0.017354,0.072981,0.727527,-0.035322,-0.681271,0.039138,1.391676,0.046391,0.003099,0.633269,0.099540,-0.767498,0.033764,1.405254,0.133156,-0.034933,0.634558,0.109902,-0.764223,0.089908,1.358331,0.439742,-0.043872,0.659839,0.090276,-0.744673,0.132142,1.305735,0.678059,-0.042527,0.697622,0.091656,-0.709305,0.034336,1.394797,-0.028474,0.008099,0.681926,-0.069790,-0.728039,0.033470,1.411458,-0.114863,0.072949,0.682254,-0.038428,-0.726451,0.014491,1.375946,-0.427477,0.116011,0.665966,0.018319,-0.736678,-0.001733,1.337782,-0.669528,0.010470,0.684497,-0.060883,-0.726394,0.005273,0.917570,0.100573,-0.030024,0.708958,-0.029821,-0.703980,0.036313,0.501970,0.141849,0.005254,0.663468,0.005450,-0.748167,0.068488,0.111527,0.141403,-0.075388,0.690717,-0.001642,-0.719183,-0.006893,0.916853,-0.087220,-0.007749,0.697502,-0.035703,-0.715651,0.037711,0.502818,-0.131683,0.006824,0.779869,0.002098,-0.625903,0.061663,0.111789,-0.115974,0.007880,0.662360,0.008094,-0.749101,-0.072550,0.052504,0.158318,0.007274,0.775794,0.003886,-0.630933,-0.076933,0.052302,-0.146207
5,0.041667,0.002961,0.683861,0.000166,-0.729607,-0.000900,0.917203,0.006681,0.046034,0.681801,0.032283,-0.729374,-0.000569,0.994359,0.006365,0.010782,0.683040,0.038585,-0.729282,0.022022,1.198683,0.001608,-0.077867,0.718187,-0.044318,-0.690059,0.018031,1.404132,0.010425,-0.069122,0.750523,-0.092477,-0.650680,0.013507,1.545057,0.017419,0.073089,0.727455,-0.035318,-0.681336,0.039019,1.391650,0.046360,0.003241,0.633299,0.099598,-0.767465,0.033663,1.405240,0.133124,-0.034923,0.634641,0.109989,-0.764143,0.089776,1.358348,0.439720,-0.043723,0.659900,0.090055,-0.744655,0.131954,1.305720,0.678071,-0.042632,0.697628,0.091571,-0.709304,0.034219,1.394770,-0.028505,0.007791,0.681838,-0.069928,-0.728111,0.033351,1.411433,-0.114894,0.072943,0.681869,-0.038045,-0.726833,0.014309,1.375988,-0.427512,0.116302,0.666957,0.018980,-0.735719,-0.002193,1.337954,-0.669654,0.010428,0.684441,-0.060931,-0.726443,0.005185,0.917561,0.100578,-0.030039,0.708939,-0.029854,-0.703997,0.036281,0.501965,0.141853,0.005207,0.663491,0.005482,-0.748146,0.068485,0.111528,0.141417,-0.075433,0.690708,-0.001693,-0.719187,-0.006985,0.916845,-0.087215,-0.007781,0.697570,-0.035731,-0.715583,0.037675,0.502816,-0.131675,0.006772,0.779870,0.002111,-0.625902,0.061661,0.111793,-0.115966,0.007784,0.662334,0.008104,-0.749124,-0.072552,0.052501,0.158315,0.007227,0.775808,0.003903,-0.630916,-0.076931,0.052300,-0.146203
