X Nao,X MoCap,X Corr
0.0617487244,-0.04267,0.101654057
0.0613732934,-0.043765,0.1016903104
0.0611769855,-0.044635,0.101718961
0.0607681274,-0.045066,0.1017331041
0.0605560131,-0.045308,0.1017410307
0.0601174906,-0.045309,0.1017410634
0.0598915592,-0.045124,0.1017350048
0.0594269112,-0.044806,0.1017245763
0.0591887422,-0.044222,0.1017053772
0.0589472502,-0.043685,0.1016876691
0.0587020591,-0.043179,0.1016709358
0.0584536642,-0.042641,0.1016530939
0.0582026616,-0.042216,0.1016389627
0.0579485819,-0.041774,0.1016242317
0.057692118,-0.041481,0.1016144473
0.0574333817,-0.041322,0.1016091312
0.0571725368,-0.04134,0.1016097333
0.0569098406,-0.041467,0.1016139794
0.0566455312,-0.041751,0.1016234642
0.0563795716,-0.04218,0.1016377642
0.0558447093,-0.042922,0.1016624193
0.0555759743,-0.0437,0.1016881644
0.0550372116,-0.04443,0.1017122222
0.0547677167,-0.045178,0.1017367739
0.054229252,-0.046097,0.1017668007
0.0539609045,-0.047148,0.1018009543
0.0536933094,-0.048891,0.1018571578
0.0531619005,-0.051496,0.1019401391
0.0528983548,-0.056167,0.1020858783
0.0523770526,-0.06286,0.1022878717
0.0521197915,-0.071463,0.1025356851
0.0518651456,-0.081256,0.1028015903
0.0516131073,-0.09169,0.1030659376
0.051364392,-0.102655,0.1033226555
0.0511187166,-0.113803,0.1035615084
0.0506385341,-0.125864,0.1037947718
0.0504043996,-0.138803,0.1040159517
0.0501745455,-0.152511,0.1042174569
0.0499493554,-0.167783,0.1044021865
0.0495136976,-0.184817,0.1045587847
0.0493037924,-0.203731,0.1046715754
0.0490995236,-0.223892,0.1047210194
0.0489012524,-0.244737,0.1046953397
0.0487090908,-0.265646,0.1045911391
0.0485233292,-0.286369,0.1044103483
0.048172541,-0.306444,0.1041616218
0.0480079502,-0.326153,0.1038469783
0.0478509367,-0.344946,0.1034819457
0.0477017239,-0.362397,0.1030861504
0.0475606099,-0.378879,0.1026620806
